mem[0],...,...,...,...,...,...,mem[N-1],a,b,c,mem[a],mem[b],mem[b]-mem[a],flag,p-next
0,-1,36,-57,3,-62,16,-58,11,15,18,-57,-58,-1,1,18
0,-1,36,-57,3,-62,16,-1,11,10,25,-57,36,93,0,19
0,-1,93,-57,3,-62,16,-1,11,15,31,-57,-1,56,0,20
0,-1,93,-57,3,-62,16,56,13,10,27,-62,93,-101,1,27
0,-1,-101,-57,3,-62,16,56,12,15,30,3,56,53,0,28
0,-1,-101,-57,3,-62,16,53,12,15,30,3,53,50,0,29
0,-1,-101,-57,3,-62,16,50,12,14,28,3,16,13,0,30
0,-1,-101,-57,3,-62,13,50,11,13,23,-57,-62,-5,1,23
0,-1,-101,-57,3,-5,13,50,13,11,22,-5,-57,-52,1,22
0,-1,-101,-52,3,-5,13,50,10,14,16,-101,13,114,0,23
0,-1,-101,-52,3,-5,114,50,13,11,22,-5,-52,-47,1,22
0,-1,-101,-47,3,-5,114,50,10,14,16,-101,114,-41,1,16
0,-1,-101,-47,3,-5,-41,50,11,15,18,-47,50,97,0,17
0,-1,-101,-47,3,-5,-41,97,14,12,21,-41,3,44,0,18
0,-1,-101,-47,44,-5,-41,97,11,10,25,-47,-101,-54,1,25
0,-1,-54,-47,44,-5,-41,97,13,15,17,-5,97,102,0,26
0,-1,-54,-47,44,-5,-41,102,12,13,25,44,-5,-49,1,25
0,-1,-54,-47,44,-49,-41,102,13,15,17,-49,102,-105,1,17
0,-1,-54,-47,44,-49,-41,-105,14,12,21,-41,44,85,0,18
0,-1,-54,-47,85,-49,-41,-105,11,10,25,-47,-54,-7,1,25
